NAME,SUBSCRIPT,DEFAULT_VALUE,DESCRIPTION,UNITS,SET_VALUE,REMARK
PBAF,2,...,Baffle porosity (open area fraction),NON-DIM,1,
KBAF1,2,0.0,Linear coefficient for baffle pressure drop,cm/s,0,
KBAF2,2,0.0,Quadratic coefficient for baffle pressure drop,NON-DIM,0.0,
HBAF1,2,0.0,Effective heat-transfer coefficient for fluid #1,g K^-1 s^-3,0,
HBAF2,2,0.0,Effective heat-transfer coefficient for fluid #2,g K^-1 s^-3,0,
HBFV1,2,0.0,Cross-baffle heat transfer coefficient to type 1 void,g K^-1 s^-3,0,
HBFV2,2,0.0,Cross-baffle heat transfer coefficient to type 2 void,g K^-1 s^-3,0,
HBFV3,2,0.0,Cross-baffle heat transfer coefficient to type 3 void,g K^-1 s^-3,0,
CMSC_TR,2,0.0,Molecular diffusion coefficient of tracer *m*,g cm^-1 s^-1,0,
RMSC_TR,2,0.0,Turbulent diffusion coefficient multiplier for tracer *m*,NON-DIM,0.0,
MOTN,BLOCK,BLOCK,Non-inertial reference frame motion description,BLOCK,BLOCK,BLOCK
GRAFIC,BLOCK,BLOCK,Graphics output requests,BLOCK,BLOCK,BLOCK
ANMTYP,1,""" """,Quantity to be stored as selected data,NONE,'f',
ANMTYP,2,""" """,Quantity to be stored as selected data,NONE,'mapor',
ANMTYP,3,""" """,Quantity to be stored as selected data,NONE,'sldfrc',
ANMTYP,4,""" """,Quantity to be stored as selected data,NONE,'tn',
ANMTYP,5,""" """,Quantity to be stored as selected data,NONE,'tw',
RENDERSPACE,BLOCK,BLOCK,MISSING DESCRIPTION,BLOCK,BLOCK,BLOCK
QVAL_FAVOR,,0.5,iso-surface value for displaying geometry and fluid,,0.500,
HEADER,BLOCK,BLOCK,GUI data,BLOCK,BLOCK,BLOCK
PROJECT,,...,Project name,,'Solidification',
VERSION,,...,debug version or release version,,'double',
NPROCS,,...,Number of processors,,16,
PARTS,BLOCK,BLOCK,Marker and mass particle setup,BLOCK,BLOCK,BLOCK
NVNTS,,0,Total number of mass/momentum sources,NONE,0,
TMS,1,0.0,Time table for time-dependent particle source parameters,s]    ,0,
NP_VOID,,0,Void particle model activation flag.,NONE,0,
IPVOID_NMAX,,"10,000",The maximum allowed number of void particles,NONE          ,10000,
PVOID_CV,,0.0,Specific heat of a void particle.,cm^2 s^-2 K^-1]                           ,718.81,
PVOID_THC,,0.0,Thermal conductivity of a void particle.,g cm s^-3 K^-1]       ,0.0261,
PVOID_HTC,,-1.0,Heat-transfer coefficient between void particles and fluid.,g K^-1 s^-3]                               ,40,
PVOID_DIFF,,0.0,Constant void particle diffusion coefficient (see :envvar:`PVOID_RM` below),cm^2/s] ,0,
PVOID_RM,,0.0,Inverse Schmidt number for void particle diffusion; multiplies kinematic viscosity and is added to :envvar:`PVOID_DIFF`.,NON-DIM                               ,0.0,
PVOID_RESTIT,,0.0,Void particle coefficient of restitution,NON-DIM  ,0.0,
PVOID_RF,,0.0,Specific gas constant for void particles (:envvar:`PVOID_RF` = (:envvar:`GAMMA`-1)•:envvar:`PVOID_CV` for a gamma-law gas),cm^2 s^-2 K^-1,287.058,
PVOID_DRAG,,1.0,"Multiplier for coefficient of drag for a void particle, which is a function of Reynolds number of the fluid flow around the particle.",NON-DIM   ,1.0,
NP_MARKER,,0,Marker particle model activation flag.,NONE,1,
PMARKER_TITLE,,'marker particles',Title for marker particle class. The maximum length of the title is 30 characters.,NONE         ,'Marker Particles',
IPMARKER_NMAX,,"10,000",The maximum allowed number of marker particles,NONE  ,10000,
NSC_PART,,0,Number of user-defined particle classes,NONE,0,
NPXYZ,,0,Total number of initial particle blocks,NONE,0,
IPPKT,,0,Number of particle sources,NONE,2,
PARTICLESOURCENAME,1,' ',Particle source :envvar:`n` name (up to 256 characters),NONE,'Source 1',
IF_PSOURCE_ENABLED,1,1,Activation flag for particle source :envvar:`n`,NONE ,0,
XPPL,1,...,Lower x-coordinate limit for volumetric particle source :envvar:`n`,cm,-0.045,
XPPR,1,...,Upper x-coordinate limit for volumetric particle :envvar:`n`,cm] or DEGREE,-0.01,
YPPF,1,...,"Lower y-coordinate limit for volumetric particle source :envvar:`n`. For a cylindrical mesh (:envvar:`ICYL` = 1 in MESH), :envvar:`YPPF` is in degrees.",cm] or DEGREE,-0.02,
YPPBK,1,...,"Upper y-coordinate limit for volumetric particle source :envvar:`n`. For a cylindrical mesh (:envvar:`ICYL` = 1 in MESH), :envvar:`YPPBK` is in degrees.",cm] or DEGREE,0.02,
ZPPB,1,...,Lower z-coordinate limit for volumetric particle source :envvar:`n`,cm,-0.04,
ZPPT,1,...,Upper z-coordinate limit for particle source :envvar:`n`,cm,-0.03,
UPP,1,0.0,Particle initial x-direction velocity at particle source :envvar:`n`,cm/s,0,
VPP,1,0.0,Particle initial y-direction velocity at particle source :envvar:`n`,cm/s,0,
WPP,1,0.0,Particle initial z-direction velocity at particle source :envvar:`n`,cm/s,0,
RATET,"1, 1",0.0,Time-dependent rate of particle creation at source :envvar:`n` at time :envvar:`TMS(t)`.,1/s,500,
ISRC_SET,1,0,Particle generation flag at particle source :envvar:`n`,NONE  ,1,
ISRC_CLASS,1,0,Particle class generated at particle source :envvar:`n`,NONE,11,
SRC_PRESSURE,1,0.0,"Initial pressure of particles at particle source :envvar:`n`. Used when :envvar:`ISRC_CLASS(n)` = 16, i.e., generates gas particles.",g cm^-1 s^-2,0,
SRC_TEMPERATURE,1,T_REFERENCE,,"Initial temperature of particles at particle source :envvar:`n`. Used when :envvar:`IF_SRC_TEMPERATURE(n)` = 0, :envvar:`IFENRG` = 2 or 3 and :envvar:`ISRC_CLASS(n)` points to a material particle class, for example, the mass particles.",[T] ,25,
SRC_CHARGE,1,0.0,"Electric charge of particles at particle source :envvar:`n`. Used when :envvar:`IECHRG` = 1 and :envvar:`ISRC_CLASS(n)` points to a material particle class, for example, the mass particles.",scoul],0.0,
PARTICLESOURCENAME,2,' ',Particle source :envvar:`n` name (up to 256 characters),NONE,'Source 2',
IF_PSOURCE_ENABLED,2,1,Activation flag for particle source :envvar:`n`,NONE ,0,
XPPL,2,...,Lower x-coordinate limit for volumetric particle source :envvar:`n`,cm,0.01,
XPPR,2,...,Upper x-coordinate limit for volumetric particle :envvar:`n`,cm] or DEGREE,0.045,
YPPF,2,...,"Lower y-coordinate limit for volumetric particle source :envvar:`n`. For a cylindrical mesh (:envvar:`ICYL` = 1 in MESH), :envvar:`YPPF` is in degrees.",cm] or DEGREE,-0.02,
YPPBK,2,...,"Upper y-coordinate limit for volumetric particle source :envvar:`n`. For a cylindrical mesh (:envvar:`ICYL` = 1 in MESH), :envvar:`YPPBK` is in degrees.",cm] or DEGREE,0.02,
ZPPB,2,...,Lower z-coordinate limit for volumetric particle source :envvar:`n`,cm,-0.04,
ZPPT,2,...,Upper z-coordinate limit for particle source :envvar:`n`,cm,-0.03,
UPP,2,0.0,Particle initial x-direction velocity at particle source :envvar:`n`,cm/s,0,
VPP,2,0.0,Particle initial y-direction velocity at particle source :envvar:`n`,cm/s,0,
WPP,2,0.0,Particle initial z-direction velocity at particle source :envvar:`n`,cm/s,0,
RATET,"1, 2",0.0,Time-dependent rate of particle creation at source :envvar:`n` at time :envvar:`TMS(t)`.,1/s,500,
ISRC_SET,2,0,Particle generation flag at particle source :envvar:`n`,NONE  ,1,
ISRC_CLASS,2,0,Particle class generated at particle source :envvar:`n`,NONE,11,
SRC_PRESSURE,2,0.0,"Initial pressure of particles at particle source :envvar:`n`. Used when :envvar:`ISRC_CLASS(n)` = 16, i.e., generates gas particles.",g cm^-1 s^-2,0,
SRC_TEMPERATURE,2,T_REFERENCE,,"Initial temperature of particles at particle source :envvar:`n`. Used when :envvar:`IF_SRC_TEMPERATURE(n)` = 0, :envvar:`IFENRG` = 2 or 3 and :envvar:`ISRC_CLASS(n)` points to a material particle class, for example, the mass particles.",[T] ,25,
SRC_CHARGE,2,0.0,"Electric charge of particles at particle source :envvar:`n`. Used when :envvar:`IECHRG` = 1 and :envvar:`ISRC_CLASS(n)` points to a material particle class, for example, the mass particles.",scoul],0.0,
CASTVAR,BLOCK,BLOCK,MISSING DESCRIPTION,BLOCK,BLOCK,BLOCK
Priority,1,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1,
Interpretation,1,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'Filter',
InterpretationType,1,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,809,
mirrorSubcomponent,1,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1,
Priority,2,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1,
Interpretation,2,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'Chill',
InterpretationType,2,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,822,
mirrorSubcomponent,2,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1,
Priority,3,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,2,
Interpretation,3,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'Standard Insert',
InterpretationType,3,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,808,
mirrorSubcomponent,3,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1,
Priority,4,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,2,
Interpretation,4,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'Sand Core',
InterpretationType,4,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,806,
mirrorSubcomponent,4,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1,
Priority,5,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,3,
Interpretation,5,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'Insulating Sleeve',
InterpretationType,5,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,810,
mirrorSubcomponent,5,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1,
Priority,6,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1,
Interpretation,6,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'Sand Mold',
InterpretationType,6,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,801,
mirrorSubcomponent,6,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1,
PrimitiveType,6,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'Remaining Space',
mirrorSubcomponent,7,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1,
SubInterpretation,7,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'Casting Part',
SubinterpretationType,7,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,800,
mirrorSubcomponent,8,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1,
SubInterpretation,8,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'Casting Part',
SubinterpretationType,8,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,800,
mirrorSubcomponent,9,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1,
SubInterpretation,9,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'Casting Part',
SubinterpretationType,9,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,800,
tpour,,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,683,
tinitial,,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,25,
tambient,,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,25,
pambient,,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,101300,
UNUSEDCASTVAR,BLOCK,BLOCK,MISSING DESCRIPTION,BLOCK,BLOCK,BLOCK
Interpretation,1,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'Unused',
InterpretationType,1,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0,
SPRAY,BLOCK,BLOCK,Spray cooling properties for thermal die cycling,BLOCK,BLOCK,BLOCK
NBANKS,,0,Number of spray banks,NONE,0,
CASTVAR,BLOCK,BLOCK,MISSING DESCRIPTION,BLOCK,BLOCK,BLOCK
DETAILS,BLOCK,BLOCK,MISSING DESCRIPTION,BLOCK,BLOCK,BLOCK
f3d_product_name,,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'FLOW-3D CAST',
f3d_version_number,,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'5.1.0',
created,,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'2020 Jun 10 14:58',
modified,,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'2020 Jun 10 15:00',
OBSUNUSED,BLOCK,BLOCK,MISSING DESCRIPTION,BLOCK,BLOCK,BLOCK
NOBS,,0,Number of components,NONE,1,
OBSID,1,""" """,Character string allowing user to identify component :envvar:`m` (up to 30 characters),NONE,'Component 1',
ILTHOBS,1,0,Activates the thermal penetration depth of the component.,NON-DIM,0,
NPROBES_SQP,1,0,Number of local probe conditions for the activation event (used if :envvar:`IF_GLOBAL_SQP(m)` = 1),NONE,0,
,,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,,
